Brand,Clothing,Name,Rating,Review
Wilfred,Pants,Verona,5,"Good Basic. The black isn't see through at all, and was extremely conformation. Can easily be dressed up or dressed down."
Wilfred,Pants,Verona,3,Super cute but see through. Would have absolutely kept these if they had a lining. They were completely see-through.
Wilfred,Pants,Verona,5,Love them. Gorgeous fabric! Will easily transition into fall.
Wilfred,Pants,Verona,4,"Adorable for Spring! Great pair of pants, super comfortable, purchased with the matching top and I love "
Wilfred,Pants,Verona,5,"The dreamiest pant. Such a perfect fabric, silhouette, and length. The lettuce edge detail is gorgeous."
Wilfred,Pants,Verona,5,"Good length for petite girls. These run a little tighter at the waist, but the length is PERFECT for me at 5'0 95 lbs. A little see through, but if you wear nude underwear it's pef…read more"
Wilfred,Pants,Verona,5,New favourite pair of pants. These pants are so cute ! They are see through as I expected but are perfect with a nude pair of underwear . I ordered a small because that was all th…read more
Wilfred,Pants,Verona,2,"Very see through! Usually a size 4, purchased a Small. Fits more like a wide leg pant, wish they made it more straight. Super see through (even with nude underwear). Ki…read more"
Wilfred,Pants,Verona,5,"Really cute. Ordered a size small and medium, and kept the small. love these pants for summer. they are a little see through but it's fine if you're wearing skin c…read more"
Wilfred,Pants,Verona,1,Way too see through:( Fit is perfect love the pattern but completely see through
Wilfred,Pants,Verona,5,"Flattering, comfortable but transparent. Very light/comfortable fabric but transparent. Figure flattering fit."
Wilfred,Pants,Verona,3,"Completely see through. The pants are cute, but completely see through."
Wilfred,Pants,Faun,None,None
Wilfred,Dresses,Maxime,None,None
Wilfred,Sweaters,New Plunge Front,2,"Love the fit and style, but extremely sad about the quality. I sized down from a s to an xs for a slimmer fit and I love how versatile the cardigan is! However within a month of purchasing I found a medium lengt…read more"
Wilfred,Sweaters,New Plunge Front,4,"Runs slightly small, don't size down. I love the sweater and the style, and I sized down to an XS as I wanted a tighter fit. For reference, I am 5ft5 and 110 pounds but the XS was too tigh…read more"
Wilfred,Sweaters,New Plunge Front,3,"Not my favourite. I own two of these cardigans, Oak and Sage Green. The green one is significantly smaller in the waist than the oak one, even though they are bot the s…read more"
Wilfred,Sweaters,New Plunge Front,3,"Not for large chests. It is a really nice cardigan, and I wanted to love it, but it just isn’t meant for larger chests. I’m a 32DDD for reference, and it just billows out s…read more"
Wilfred,Sweaters,New Plunge Front,5,"Great quality. uper cute to wear in the office. Waist is slightly small. I am 26 “, XS is a tight fit on the waist."
Wilfred,Sweaters,New Plunge Front,5,"Oak. I absolutely love the New Plunge Front Cardigan as it is very versatile, beautiful and good quality. I can wear it over a casual outfit and dress it u…read more"
Wilfred,Sweaters,New Plunge Front,5,Nice. Quality is nice. It also looks good with summer dresses.
Wilfred,Sweaters,New Plunge Front,4,"Simple. The front cuts down lower than expected, so you would have to wear something underneath. Overall really thick and good material. Definitely a staple i…read more"
Wilfred,Sweaters,New Plunge Front,5,"Beautiful sweater. Bought this in the green colour which is gorgeous. Glad Aritzia redesigned this to fit more true to size. Used to be an XS in the previous version, no…read more"
Wilfred,Sweaters,New Plunge Front,5,"Best cardigan! So flattering!! It can be worn so many ways, casual or you can dress it up. Sometimes I wear it back to front for a new look. A staple piece that I wi…read more"
Wilfred,Sweaters,New Plunge Front,5,I have both the xxs and xs and I recommend getting the xs
Wilfred,Sweaters,New Plunge Front,5,Oak plunge front cardigan. Love the style of this! I got an XS (118 lbs) and it is form fitting just like I wanted. If you want a more oversized look size up!
Wilfred,Sweaters,New Plunge Front,5,Love it. I sized down to an XS for a more fitted look! A small probably would have worked well too but I love the fit or the xs
Wilfred,Sweaters,New Plunge Front,5,Wardrobe staple. I’m 5’4 130lbs and the size small fits perfect. The quality is definitely worth the money !
Wilfred,Sweaters,New Plunge Front,3,Cute but slightly itchy. Bought this in a M and I was worried that it was going to be too big but it actually fit really nicely! One thing I found a little irritating was the …read more
Wilfred,Sweaters,New Plunge Front,3,Slightly itchy. I purchased this in a M. This cardigan is so cute and it fit really nicely. My only concern is that it does feel kind of itchy when you wear it with j…read more
Wilfred,Sweaters,New Plunge Front,5,Love it! Matches with so many outfits and perfect for nights out in colder weather
Wilfred,Sweaters,New Plunge Front,3,Bring the old model back! I was so excited to finally purchase my own Plunge Front Cardigan (all my friends have the Thais cardigan which is the old model of this one). However…read more
Wilfred,Sweaters,New Plunge Front,5,Plunge front cardigan in herring. I got this cardigan in herring and in black! Both in xs! I’m usually a size small and the xs fits perfectly! XXS also fits but is a bit tighter around…read more
Wilfred,Sweaters,New Plunge Front,4,Thin-ish but great! It's thinner material than I expected in the bodice area but it's still great and looks great I really like it.
Wilfred,Sweaters,New Plunge Front,4,"Cute cardigan, but not that soft. I got this cardigan in XXS, and it is very flattering. However, the material is not as soft as I would like it to be. It's a little scratchy on the ar…read more"
Wilfred,Sweaters,New Plunge Front,5,"Fave cardigan. I’ve always been a hoodie person so this time I decided to switch it up and get something a little more on the feminine side, and it was the BEST deci…read more"
Wilfred,Sweaters,New Plunge Front,4,"Cute everyday cardigan! Super versatile cardigan. Perfect over summer dresses or crop tops w/jeans. Not sure if I could get away with wearing the cardigan backwards as a sweater, but it is cute on the model!"
Wilfred,Sweaters,New Plunge Front,5,Best cardigan for all seasons. Love this cardigan its the perfect fit and accentuates all the right places. Bought it in both cream and green and both are gorgeous! I would highly r…read more
Wilfred,Sweaters,New Plunge Front,5,"Beautiful, comfortable & good quality. Very flattering, beautiful color (as pictured) and very soft. It also perfectly"
Wilfred,Sweaters,New Plunge Front,4,"Cardigan. Good material, I had to return it and get bigger size. I have 32 D chest and it doesn't look good when tight.
Usually I wear size small."
Wilfred,Sweaters,New Plunge Front,5,"Best cardigan ever. Honestly, I’ve never been more happy with a purchase in my life! It is totally worth the splurge and the fabric is amazing! Would recommend!"
Wilfred,Sweaters,New Plunge Front,4,Versatile. Got this is Oak and love how easy it is to style. You can throw it on over jeans and a tee or a simple dress and it will elevate any look! Easy to thr…read more
Wilfred,Sweaters,New Plunge Front,5,Awesome. I saw many reviews saying to size down but I definitely don’t think that’s necessary with this version. It fits very true to size and is excellent qua…read more
Wilfred,Sweaters,New Plunge Front,5,"Fave cardigan. recommend sizing down if you want a fitted look! great with high wasted jeans, you can honestly dress it up or down however you like!"
Wilfred,Sweaters,New Plunge Front,5,Such a cute piece. I am about 5'7 and around 110ish lb and XS fits amazing. I would not size down if you want to wear it with the buttons closed! I have this sweater in …read more
Wilfred,Sweaters,New Plunge Front,5,"Nice cardigan. I really like this cardigan. I usually wear a size extra small, but I chose an extra small for this one."
Wilfred,Sweaters,New Plunge Front,4,Love it! Super comfortable and cute! I would size down though. I usually wear a M but I found it to be a bit big. Fits: Slightly Larger
